"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2020","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101631903&doi=10.1484%2fJ.JAAJ.5.122297&partnerID=40&md5=96859f7c010bc8e4ae860932d074ca02","Tyndale House, Cambridge, United Kingdom","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108644986&partnerID=40&md5=ed58911bb25623be12cb4f220c78eae2","","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142388959&doi=10.1080%2f2222582X.2012.11877260&partnerID=40&md5=1c0820ac9705100d17f0f867eb6b35a6","UNIVERSITY OF NIJMEGEN, Netherlands; Department of New Testament Studies, University of Pretoria, South Africa","","English"
"2003","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650035448&doi=10.2753%2fRSP1061-1967420166&partnerID=40&md5=33b59d217e07fc7ed2f885feddeb66cc","Institute of World Culture, Moscow State University","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890576135&doi=10.1002%2f9780470996607.ch24&partnerID=40&md5=6489d6b523e51360d2a69a6f375515c5","Catholic University of America, Washington, DC, United States","","English"
"2007","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957107831&doi=10.1002%2f9780470997123.ch25&partnerID=40&md5=e08b984508c4bc17a2345968fbbc5757","State University of New York, United States","","English"
"2009","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455215065&doi=10.1163%2fej.9789004172852.i-286.6&partnerID=40&md5=539bb3b1fbb5240517586befe2462e4d","Flagstaff, United States","","English"
"1985","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974070182&doi=10.1017%2fS0026749X00007666&partnerID=40&md5=75c7c73ab7cc213fa108bbb512984e6d","Delhi School of Economics, India","","English"
"1993","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979376482&doi=10.1111%2fj.1467-9809.1993.tb00721.x&partnerID=40&md5=f8cb3a76524608e595c1e8c3b5a6cc70","Edith Cowan University, Perth, Western Australia, Australia","","English"
"2011","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947745061&partnerID=40&md5=e491dd960bc28a8e7a038d5ac9f97b12","School of Oriental and African Studies, London, United Kingdom","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953380195&partnerID=40&md5=061448b7ecbcf870cd366be1baae630a","Department of Theology, Loyola University Chicago, Chicago, IL, United States","","English"
"1965","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953528173&doi=10.1163%2f157007265X00061&partnerID=40&md5=b955b7d9a6377bf06dcd7d4ba2eb3c51","Cambridge (Mass.), Harvard Divinity School 45 Francis Avenue","","English"
"1977","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861104540&doi=10.1163%2f156852777X00020&partnerID=40&md5=0feb7df69e86bcee0b2310048fc94fcd","St. Andrews University, Scotland, United Kingdom","American Academy of Religion","English"
"1992","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84972272994&doi=10.1017%2fS0009838800016098&partnerID=40&md5=a4f385997171e1bf3dc458e739e51c63","University of California, Santa Barbara, United States","","English"
"2016","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979516753&doi=10.1017%2fS001781601600016X&partnerID=40&md5=e792ace7b14109b0ed2376de3f4b35c2","Cardiff University, United Kingdom","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927556620&doi=10.4102%2fhts.v69i1.1921&partnerID=40&md5=e839ccfd6f65048695642f82ef6e7db7","Radboud University, Netherlands; Department of Church History and Polity, University of Pretoria, South Africa","","English"
"2005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949109301&doi=10.1163%2f156921205776137945&partnerID=40&md5=6705430c59e58445c8e61353752bb271","","","English"
